Description                  Time (us)   %Total  %Parent
--------------------------------------------------------
al                              44123      100      100
  convergence_check                 0        0        0
  dual_update                      69        0        0
  ilqr                          43802       99       99
      backward_pass             12946       29       29
      convergence_check             0        0        0
      cost                        314        0        0
      expansions                14491       32       33
      forward_pass              15231       34       34
                  cost           6026       13       39
                  rollout        8901       20       58
      init                          8        0        0
      stats                       336        0        0
  init                             99        0        0
      cost                         47        0       47
  penalty_update                    8        0        0
  stats                            96        0        0
