Description                  Time (us)   %Total  %Parent
--------------------------------------------------------
al                               5645      100      100
  convergence_check                 0        0        0
  dual_update                       0        0        0
  ilqr                           5399       95       95
      backward_pass              1540       27       28
      convergence_check             0        0        0
      cost                         83        1        1
      expansions                 1730       30       32
      forward_pass               1789       31       33
                  cost            497        8       27
                  rollout        1248       22       69
      init                          4        0        0
      stats                        18        0        0
  init                            228        4        4
      cost                        101        1       44
  stats                             2        0        0
